"Pollutant","Country.Name","Unit","EEA.Sector","EEA.Sub.Sector","Column","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021"
"NOx","France","Gg (1000 tonnes)","Agriculture","Crops","Emissions",125,128,127,123,127,129,129,130,130,124,119,116
"NOx","France","Gg (1000 tonnes)","Agriculture","Energy use","Emissions",120,115,105,101,95,85,71,65,57,52,52,47
"NOx","France","Gg (1000 tonnes)","Agriculture","Livestock","Emissions",33,33,33,33,33,33,33,32,32,31,31,30
"NOx","France","Gg (1000 tonnes)","Energy supply","Energy production","Emissions",66,50,63,60,35,35,31,34,28,25,24,25
"NOx","France","Gg (1000 tonnes)","Energy supply","Fuel production and  processing","Emissions",22,20,17,15,14,13,14,12,11,10,8,7
"NOx","France","Gg (1000 tonnes)","Energy supply","Other energy","Emissions",0,0,0,0,0,0,0,0,0,0,0,0
"NOx","France","Gg (1000 tonnes)","Manufacturing and extractive industry","Heavy industry","Emissions",84,81,78,77,72,69,67,65,63,59,59,61
"NOx","France","Gg (1000 tonnes)","Manufacturing and extractive industry","Light industry","Emissions",47,48,46,46,42,42,40,40,38,37,34,34
"NOx","France","Gg (1000 tonnes)","Residential, commercial & institutional","Residential, commercial & institutional","Emissions",107,90,96,100,83,86,84,83,80,78,73,81
"NOx","France","Gg (1000 tonnes)","Transport","Non-road transport","Emissions",32,31,31,30,27,27,25,24,24,24,16,18
"NOx","France","Gg (1000 tonnes)","Transport","Road-transport","Emissions",597,579,555,546,525,514,490,468,436,406,318,332
"NOx","France","Gg (1000 tonnes)","Waste","Waste management","Emissions",3,3,3,3,3,3,3,2,3,3,3,3
"NOx","France","Gg (1000 tonnes)","Waste","Wastewater treatment","Emissions",0,0,0,0,0,0,0,0,0,0,0,0
"NOx","Netherlands","Gg (1000 tonnes)","Agriculture","Crops","Emissions",14.8,14.2,13.9,14.9,14.8,15.8,15.1,15.3,14.7,14.7,14.8,14.4
"NOx","Netherlands","Gg (1000 tonnes)","Agriculture","Livestock","Emissions",18,18.2,17.6,17.8,18.4,18.9,19.3,19.7,19.9,19.2,19.2,18.7
"NOx","Netherlands","Gg (1000 tonnes)","Energy supply","Energy production","Emissions",25.6,22.5,21.3,21.8,19.3,20.5,18,16.7,15.8,15.1,13.5,14
"NOx","Netherlands","Gg (1000 tonnes)","Energy supply","Fuel production and  processing","Emissions",10.4,10.5,10.5,11.1,11,10.8,9.1,8.5,8.4,7.7,6.9,6.3
"NOx","Netherlands","Gg (1000 tonnes)","Manufacturing and extractive industry","Heavy industry","Emissions",19.3,18.8,18.3,16.4,15.7,15.9,16.4,15.7,15.8,15.7,15.2,14.9
"NOx","Netherlands","Gg (1000 tonnes)","Manufacturing and extractive industry","Light industry","Emissions",11.1,11,10.2,9.5,9.3,8.9,8.5,8.3,7.7,7.6,6.6,6.8
"NOx","Netherlands","Gg (1000 tonnes)","Residential, commercial & institutional","Residential, commercial & institutional","Emissions",34.8,27.9,27.9,27.6,21.5,22.5,21.7,18.2,17.8,15.8,14.1,15.3
"NOx","Netherlands","Gg (1000 tonnes)","Transport","Non-road transport","Emissions",79.7,80.5,75.6,74.1,75,71.7,70.4,67,67.1,64.9,59.9,56.9
"NOx","Netherlands","Gg (1000 tonnes)","Transport","Road-transport","Emissions",129,126.8,117.8,105.9,91.5,87.8,83.6,83.9,84.9,78.5,61.1,58.7
"NOx","Netherlands","Gg (1000 tonnes)","Waste","Waste management","Emissions",0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"NOx","Romania","Gg (1000 tonnes)","Agriculture","Crops","Emissions",12.3,12.6,11.6,13.8,12.2,14.3,13.8,15.3,18.8,18.3,18.8,20.5
"NOx","Romania","Gg (1000 tonnes)","Agriculture","Livestock","Emissions",11.8,11.6,11.6,11.6,11.4,11.6,11.4,11.1,11,10.9,10.7,10.7
"NOx","Romania","Gg (1000 tonnes)","Energy supply","Energy production","Emissions",56.5,61,56.5,45.4,44.3,42.4,32.4,33.5,35.7,32.2,22.9,21.9
"NOx","Romania","Gg (1000 tonnes)","Energy supply","Fuel production and  processing","Emissions",9,8.1,7.3,7.6,7.4,5.8,5.4,7.2,4.7,6.5,6.3,6.6
"NOx","Romania","Gg (1000 tonnes)","Manufacturing and extractive industry","Heavy industry","Emissions",26.4,27.3,23.5,20.8,20.6,21.5,20,20.2,21.2,21.8,21.8,22.6
"NOx","Romania","Gg (1000 tonnes)","Manufacturing and extractive industry","Light industry","Emissions",4.6,4.6,4.6,4,4,3.8,4.1,4.3,4,4.3,4,4.1
"NOx","Romania","Gg (1000 tonnes)","Residential, commercial & institutional","Residential, commercial & institutional","Emissions",18.5,18.7,19.2,18.2,17.6,17.8,18,20.3,20.9,20.8,21,24.7
"NOx","Romania","Gg (1000 tonnes)","Transport","Non-road transport","Emissions",23,26.3,26.3,23.3,20.7,20.6,18.9,18.3,16.7,18.6,16.8,18.2
"NOx","Romania","Gg (1000 tonnes)","Transport","Road-transport","Emissions",85.7,88.2,90.3,85.5,85.4,83.6,87.5,89.9,89.3,85.2,83.4,84.4
"NOx","Romania","Gg (1000 tonnes)","Waste","Waste management","Emissions",0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.5,0.5,0.5
"NOx","Spain","Gg (1000 tonnes)","Agriculture","Crops","Emissions",52,48,47,51,57,57,53,57,56,55,57,56
"NOx","Spain","Gg (1000 tonnes)","Agriculture","Energy use","Emissions",100,96,91,84,84,75,68,65,66,60,57,57
"NOx","Spain","Gg (1000 tonnes)","Agriculture","Livestock","Emissions",25,25,25,25,25,25,26,26,26,26,27,26
"NOx","Spain","Gg (1000 tonnes)","Energy supply","Energy production","Emissions",84,132,148,103,115,124,92,87,61,43,31,31
"NOx","Spain","Gg (1000 tonnes)","Energy supply","Fuel production and  processing","Emissions",24,24,24,21,19,19,17,17,16,14,10,11
"NOx","Spain","Gg (1000 tonnes)","Manufacturing and extractive industry","Heavy industry","Emissions",108,102,91,78,78,78,78,79,83,82,77,80
"NOx","Spain","Gg (1000 tonnes)","Manufacturing and extractive industry","Light industry","Emissions",54,45,44,34,29,31,34,35,35,37,30,31
"NOx","Spain","Gg (1000 tonnes)","Residential, commercial & institutional","Residential, commercial & institutional","Emissions",38,35,34,31,28,29,27,28,30,28,27,28
"NOx","Spain","Gg (1000 tonnes)","Transport","Non-road transport","Emissions",36,32,29,19,16,18,17,19,20,20,12,13
"NOx","Spain","Gg (1000 tonnes)","Transport","Road-transport","Emissions",363,343,316,306,302,304,299,292,283,268,213,230
"NOx","Spain","Gg (1000 tonnes)","Waste","Waste management","Emissions",51,54,35,62,40,52,51,48,65,47,58,58
"NOx","Sweden","Gg (1000 tonnes)","Agriculture","Crops","Emissions",9,9,8,8,9,10,10,10,10,10,11,10
"NOx","Sweden","Gg (1000 tonnes)","Agriculture","Livestock","Emissions",4,3,3,3,3,3,3,3,3,3,3,3
"NOx","Sweden","Gg (1000 tonnes)","Energy supply","Energy production","Emissions",15,12,12,12,11,11,12,12,12,12,11,13
"NOx","Sweden","Gg (1000 tonnes)","Energy supply","Fuel processing","Emissions",0,0,0,0,0,0,0,0,0,0,0,0
"NOx","Sweden","Gg (1000 tonnes)","Energy supply","Fuel production and  processing","Emissions",2,2,2,1,1,2,1,1,1,1,1,1
"NOx","Sweden","Gg (1000 tonnes)","Manufacturing and extractive industry","Heavy industry","Emissions",7,7,7,7,7,7,6,6,6,5,5,5
"NOx","Sweden","Gg (1000 tonnes)","Manufacturing and extractive industry","Light industry","Emissions",21,21,20,20,19,19,19,20,20,20,19,19
"NOx","Sweden","Gg (1000 tonnes)","Residential, commercial & institutional","Residential, commercial & institutional","Emissions",5,5,5,5,5,4,5,5,4,4,4,4
"NOx","Sweden","Gg (1000 tonnes)","Transport","Non-road transport","Emissions",30,30,28,27,27,26,25,24,24,23,21,20
"NOx","Sweden","Gg (1000 tonnes)","Transport","Road-transport","Emissions",77,74,71,69,68,65,62,58,54,47,41,39
"NOx","Sweden","Gg (1000 tonnes)","Waste","Waste management","Emissions",0,0,0,0,0,0,0,0,0,0,0,0
"PM2.5","France","Gg (1000 tonnes)","Agriculture","Crops","Emissions",5.1,4.8,4.7,4.3,4.2,4.1,3.6,3.8,3.5,3.6,3.3,3.4
"PM2.5","France","Gg (1000 tonnes)","Agriculture","Energy use","Emissions",11.1,10.2,8.8,8.3,7.4,6.4,5.1,4.5,4.1,3.7,3.8,3.4
"PM2.5","France","Gg (1000 tonnes)","Agriculture","Livestock","Emissions",4.6,4.6,4.6,4.7,4.7,4.7,4.6,4.6,4.7,4.7,4.8,4.9
"PM2.5","France","Gg (1000 tonnes)","Energy supply","Energy production","Emissions",1.9,1.6,2.4,2.4,1.4,1.6,1.5,1.7,1.3,1.3,1.2,1.5
"PM2.5","France","Gg (1000 tonnes)","Energy supply","Fuel processing","Emissions",0.2,0.3,0.3,0.4,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.2
"PM2.5","France","Gg (1000 tonnes)","Energy supply","Fuel production and  processing","Emissions",0.9,0.8,0.7,0.5,0.5,0.5,0.5,0.4,0.3,0.3,0.2,0.2
"PM2.5","France","Gg (1000 tonnes)","Energy supply","Other energy","Emissions",0,0,0,0,0,0,0,0,0,0,0,0
"PM2.5","France","Gg (1000 tonnes)","Manufacturing and extractive industry","Heavy industry","Emissions",11.3,9.8,9.1,9.6,9.9,9.5,9.6,9.9,9,8.4,7.4,8.1
"PM2.5","France","Gg (1000 tonnes)","Manufacturing and extractive industry","Light industry","Emissions",6.7,5.2,5.3,5.4,4.8,5.3,5.2,5.1,5.1,4.7,4.5,4.4
"PM2.5","France","Gg (1000 tonnes)","Residential, commercial & institutional","Residential, commercial & institutional","Emissions",195.9,153.8,169.3,175.6,138.6,144,151.9,143.3,134.2,131.9,116.3,129.1
"PM2.5","France","Gg (1000 tonnes)","Transport","Non-road transport","Emissions",2.4,2.4,2.5,2.4,2.3,2.3,2.2,2.1,2.1,2.1,1.7,1.9
"PM2.5","France","Gg (1000 tonnes)","Transport","Road-transport","Emissions",35.9,32.8,30.7,28.4,25.6,24.5,23,21.4,19.6,18,14.1,14.8
"PM2.5","France","Gg (1000 tonnes)","Waste","Waste management","Emissions",17.5,16.3,17.1,17.6,17.7,16.4,15.9,14.9,15.4,16.3,14.3,17.3
"PM2.5","Netherlands","Gg (1000 tonnes)","Agriculture","Crops","Emissions",0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.11
"PM2.5","Netherlands","Gg (1000 tonnes)","Agriculture","Livestock","Emissions",0.49,0.5,0.49,0.49,0.5,0.5,0.49,0.48,0.45,0.43,0.43,0.42
"PM2.5","Netherlands","Gg (1000 tonnes)","Energy supply","Energy production","Emissions",0.22,0.11,0.11,0.17,0.25,0.3,0.24,0.17,0.14,0.12,0.09,0.12
"PM2.5","Netherlands","Gg (1000 tonnes)","Energy supply","Fuel production and  processing","Emissions",0.23,0.22,0.11,0.17,0.19,0.23,0.18,0.18,0.18,0.18,0.15,0.14
"PM2.5","Netherlands","Gg (1000 tonnes)","Manufacturing and extractive industry","Heavy industry","Emissions",3.32,3.4,2.85,2.92,2.77,2.74,2.91,3.06,2.98,2.99,2.64,2.77
"PM2.5","Netherlands","Gg (1000 tonnes)","Manufacturing and extractive industry","Light industry","Emissions",2.12,2.18,2.1,2.08,2.24,2.32,2.16,2.15,2.17,2.01,1.81,1.57
"PM2.5","Netherlands","Gg (1000 tonnes)","Residential, commercial & institutional","Residential, commercial & institutional","Emissions",7.45,6.17,6.45,6.58,5.36,5.64,5.57,5.23,5.07,4.86,4.59,5.02
"PM2.5","Netherlands","Gg (1000 tonnes)","Transport","Non-road transport","Emissions",3.92,3.77,3.5,3.39,3.36,3.08,2.96,2.76,2.7,2.51,2.47,2.27
"PM2.5","Netherlands","Gg (1000 tonnes)","Transport","Road-transport","Emissions",3.4,3.03,2.67,2.37,2.11,1.96,1.85,1.8,1.77,1.61,1.31,1.28
"PM2.5","Netherlands","Gg (1000 tonnes)","Waste","Waste management","Emissions",0.56,0.53,0.53,0.52,0.55,0.55,0.56,0.57,0.56,0.49,0.44,0.44
"PM2.5","Romania","Gg (1000 tonnes)","Agriculture","Crops","Emissions",0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8
"PM2.5","Romania","Gg (1000 tonnes)","Agriculture","Livestock","Emissions",0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
"PM2.5","Romania","Gg (1000 tonnes)","Energy supply","Energy production","Emissions",4.9,5.7,4.6,3.8,3.5,2.9,2.4,2,1.8,1.7,1.6,1.3
"PM2.5","Romania","Gg (1000 tonnes)","Energy supply","Fuel production and  processing","Emissions",1.2,1.3,1.1,1.2,1.2,1,1,1.1,1,1.2,1.1,1.1
"PM2.5","Romania","Gg (1000 tonnes)","Manufacturing and extractive industry","Heavy industry","Emissions",7.6,7.5,5.7,5.4,5.4,6,5.7,5.3,4.3,4.5,4.1,4.6
"PM2.5","Romania","Gg (1000 tonnes)","Manufacturing and extractive industry","Light industry","Emissions",2,1.9,2.2,2.2,2.1,2.1,2.4,2.2,2.4,2.3,2,2.1
"PM2.5","Romania","Gg (1000 tonnes)","Residential, commercial & institutional","Residential, commercial & institutional","Emissions",106,94.6,98.7,93.5,94.2,89.7,90,91.5,90.6,91.2,91.3,97.1
"PM2.5","Romania","Gg (1000 tonnes)","Transport","Non-road transport","Emissions",0.8,1,1,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.5,0.5
"PM2.5","Romania","Gg (1000 tonnes)","Transport","Road-transport","Emissions",4.3,4.4,4.5,4.3,4.3,4.2,4.4,4.6,4.6,4.3,4.1,4.3
"PM2.5","Romania","Gg (1000 tonnes)","Waste","Waste management","Emissions",1.1,1.5,1.7,1.1,1.1,0.8,0.8,1.1,1.1,1.5,1.4,1.5
"PM2.5","Spain","Gg (1000 tonnes)","Agriculture","Crops","Emissions",2.7,3.3,3.1,2.9,3.8,3.8,3.2,3.4,3.7,3.5,3.3,3.3
"PM2.5","Spain","Gg (1000 tonnes)","Agriculture","Energy use","Emissions",4.4,4.2,4,3.7,3.7,3.5,3.3,3,3,2.6,2.4,2.4
"PM2.5","Spain","Gg (1000 tonnes)","Agriculture","Livestock","Emissions",1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.9
"PM2.5","Spain","Gg (1000 tonnes)","Energy supply","Energy production","Emissions",2.4,3.6,4.4,4.8,5.2,5,3.8,4.5,3.7,2.9,3,3.2
"PM2.5","Spain","Gg (1000 tonnes)","Energy supply","Fuel processing","Emissions",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1
"PM2.5","Spain","Gg (1000 tonnes)","Energy supply","Fuel production and  processing","Emissions",1.3,1.3,1.4,1.1,1,0.8,0.7,0.7,0.7,0.4,0.7,1.6
"PM2.5","Spain","Gg (1000 tonnes)","Manufacturing and extractive industry","Heavy industry","Emissions",7.6,7.2,6.7,5.3,5.4,6.3,6,6.2,6.5,6.3,7,6.8
"PM2.5","Spain","Gg (1000 tonnes)","Manufacturing and extractive industry","Light industry","Emissions",10,11.7,9.6,8.1,7.2,8.1,9.5,10.2,10.6,12,10.2,9.7
"PM2.5","Spain","Gg (1000 tonnes)","Residential, commercial & institutional","Residential, commercial & institutional","Emissions",61,60.8,61.5,60.3,60.4,59.4,41.4,41.7,40.4,39,37.3,36.7
"PM2.5","Spain","Gg (1000 tonnes)","Transport","Non-road transport","Emissions",0.9,0.8,0.8,0.6,0.5,0.6,1,1.8,1.9,2,1.2,1.5
"PM2.5","Spain","Gg (1000 tonnes)","Transport","Road-transport","Emissions",20.3,18.9,17.5,17,15.4,15.2,14.9,14.8,14.9,14.5,11.5,12.9
"PM2.5","Spain","Gg (1000 tonnes)","Waste","Waste management","Emissions",48.3,50.7,33.5,58.2,38.1,48.6,48.1,45.3,61.5,44.8,54.8,54.9
"PM2.5","Sweden","Gg (1000 tonnes)","Agriculture","Crops","Emissions",0.23,0.23,0.23,0.23,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23
"PM2.5","Sweden","Gg (1000 tonnes)","Agriculture","Livestock","Emissions",0.39,0.39,0.38,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.37
"PM2.5","Sweden","Gg (1000 tonnes)","Energy supply","Energy production","Emissions",1.75,1.38,1.28,1.13,0.86,0.73,0.8,0.79,0.78,0.77,0.66,0.81
"PM2.5","Sweden","Gg (1000 tonnes)","Energy supply","Fuel production and  processing","Emissions",0.12,0.08,0.11,0.1,0.08,0.11,0.11,0.09,0.05,0.05,0.06,0.09
"PM2.5","Sweden","Gg (1000 tonnes)","Manufacturing and extractive industry","Heavy industry","Emissions",2.29,2.77,2.99,2.72,1.51,1.22,1.42,1.83,1.87,1.3,1.49,1.09
"PM2.5","Sweden","Gg (1000 tonnes)","Manufacturing and extractive industry","Light industry","Emissions",4.4,3.72,3.29,3.21,2.78,2.53,2.41,2.55,2.53,2.52,2.28,1.88
"PM2.5","Sweden","Gg (1000 tonnes)","Residential, commercial & institutional","Residential, commercial & institutional","Emissions",9.14,9,8.41,8.03,7.31,7.05,7,6.9,5.88,5.84,5.55,5.61
"PM2.5","Sweden","Gg (1000 tonnes)","Transport","Non-road transport","Emissions",2.25,2.22,2.14,2.14,2.06,1.69,1.67,1.6,1.56,1.62,1.51,1.4
"PM2.5","Sweden","Gg (1000 tonnes)","Transport","Road-transport","Emissions",4.55,4.84,4.2,4.53,4.13,4.06,4.05,4.01,4,3.82,3.6,3.58
"PM2.5","Sweden","Gg (1000 tonnes)","Waste","Waste management","Emissions",0.94,0.85,0.85,0.83,0.76,0.74,0.82,0.82,0.88,0.87,0.95,0.9
