Entity,Code,Year,battery_electric_share,plugin_hybrid_share
Austria,AUT,2001,0,0
Austria,AUT,2002,0.000357791,0
Austria,AUT,2003,0,0
Austria,AUT,2004,0,0
Austria,AUT,2005,0,0
Austria,AUT,2006,0,0
Austria,AUT,2007,0,0
Austria,AUT,2008,0.000680976,0
Austria,AUT,2009,0.012216973,0
Austria,AUT,2010,0.034145092,0
Austria,AUT,2011,0.177737095,0
Austria,AUT,2012,0.184220708,0
Austria,AUT,2013,0.262980551,0
Austria,AUT,2014,0.462880541,0.103521716
Austria,AUT,2015,0.569104374,0.33413816
Austria,AUT,2016,1.025169597,0.512433102
Austria,AUT,2017,1.537699536,0.474357523
Austria,AUT,2018,1.983182239,0.659692495
Austria,AUT,2019,2.698845954,0.650953507
Belgium,BEL,2001,0.001023269,0
Belgium,BEL,2002,0.000855652,0
Belgium,BEL,2003,0,0
Belgium,BEL,2004,0,0
Belgium,BEL,2005,0,0
Belgium,BEL,2006,0,0
Belgium,BEL,2007,0,0
Belgium,BEL,2008,0,0
Belgium,BEL,2009,0,0
Belgium,BEL,2010,0.006590835,0
Belgium,BEL,2011,0.048409055,0
Belgium,BEL,2012,0.169701851,0
Belgium,BEL,2013,0.154507038,0
Belgium,BEL,2014,0.281816714,0.127759671
Belgium,BEL,2015,0.324308574,0.285191971
Belgium,BEL,2016,0.370700568,1.351759623
Belgium,BEL,2017,0.464909488,2.172870949
Belgium,BEL,2018,0.663716814,1.6491034
Belgium,BEL,2019,1.606718509,1.539082514
Denmark,DNK,2001,0.007282867,0
Denmark,DNK,2002,0.000891146,0
Denmark,DNK,2003,0.002057423,0
Denmark,DNK,2004,0.002462124,0
Denmark,DNK,2005,0.001349737,0
Denmark,DNK,2006,0.001274624,0
Denmark,DNK,2007,0.001228682,0
Denmark,DNK,2008,0.003318973,0
Denmark,DNK,2009,0.069665872,0
Denmark,DNK,2010,0.027397796,0
Denmark,DNK,2011,0.268814042,0
Denmark,DNK,2012,0.315605183,0
Denmark,DNK,2013,0.296794836,0
Denmark,DNK,2014,0.870586244,0.002115641
Denmark,DNK,2015,2.159227346,0.126814826
Denmark,DNK,2016,0.525674234,0.320871911
Denmark,DNK,2017,0.320504164,0.275489534
Denmark,DNK,2018,0.707850708,1.402466296
Denmark,DNK,2019,2.437808531,1.712553876
Europe,,2019,2.211368714,1.252664202
Europe,,2020,6.212287682,5.198907677
Finland,FIN,2001,0,0
Finland,FIN,2002,0,0
Finland,FIN,2003,0,0
Finland,FIN,2004,0,0
Finland,FIN,2005,0,0
Finland,FIN,2006,0,0
Finland,FIN,2007,0,0
Finland,FIN,2008,0.003595312,0
Finland,FIN,2009,0.001107898,0
Finland,FIN,2010,0.012569017,0
Finland,FIN,2011,0.023777632,0
Finland,FIN,2012,0.094346404,0
Finland,FIN,2013,0.211608515,0
Finland,FIN,2014,0.189121292,0.230520977
Finland,FIN,2015,0.22416375,0.382180819
Finland,FIN,2016,0.178932955,1.575114038
Finland,FIN,2017,0.409608091,2.11293721
Finland,FIN,2018,0.642849441,3.987325497
Finland,FIN,2019,1.660452007,5.137160163
France,FRA,2001,0.018050926,0
France,FRA,2002,0.010862111,0
France,FRA,2003,0.005624,0
France,FRA,2004,0.02284342,0
France,FRA,2005,0.000290165,0
France,FRA,2006,0.000649817,0
France,FRA,2007,0.000290557,0
France,FRA,2008,0.000195095,0
France,FRA,2009,0.000445853,0
France,FRA,2010,0.008351712,0
France,FRA,2011,0.122541154,0
France,FRA,2012,0.317813691,0
France,FRA,2013,0.5215086,0
France,FRA,2014,0.622015966,0.075910874
France,FRA,2015,0.942474628,0.244170457
France,FRA,2016,1.086489132,0.387603347
France,FRA,2017,1.182792541,0.562237428
France,FRA,2018,1.430591141,0.615575156
France,FRA,2019,1.93922737,0.835023726
Germany,DEU,2001,0.001676042,0
Germany,DEU,2002,0.000584195,0
Germany,DEU,2003,0.000525256,0
Germany,DEU,2004,0.000306121,0
Germany,DEU,2005,0.000538809,0
Germany,DEU,2006,0.000086543,0
Germany,DEU,2007,0.000190683,0
Germany,DEU,2008,0.000161902,0
Germany,DEU,2009,0.004011016,0
Germany,DEU,2010,0.013204582,0
Germany,DEU,2011,0.069450856,0
Germany,DEU,2012,0.115885532,0
Germany,DEU,2013,0.249408742,0
Germany,DEU,2014,0.315580308,0.114699594
Germany,DEU,2015,0.387657954,0.347544651
Germany,DEU,2016,0.341852544,0.410628848
Germany,DEU,2017,0.730537078,0.856952715
Germany,DEU,2018,1.052242751,0.870780434
Germany,DEU,2019,1.759369237,1.237577645
Greece,GRC,2001,0,0
Greece,GRC,2002,0,0
Greece,GRC,2003,0,0
Greece,GRC,2004,0,0
Greece,GRC,2005,0,0
Greece,GRC,2006,0,0
Greece,GRC,2007,0,0
Greece,GRC,2008,0,0
Greece,GRC,2009,0.00045369,0
Greece,GRC,2010,0,0
Greece,GRC,2011,0,0
Greece,GRC,2012,0.003419914,0
Greece,GRC,2013,0.005111342,0
Greece,GRC,2014,0.075825657,0.01263761
Greece,GRC,2015,0.042213574,0.05672449
Greece,GRC,2016,0.02535722,0.098893157
Greece,GRC,2017,0.042007743,0.180519761
Greece,GRC,2018,0.070578453,0.220436813
Greece,GRC,2019,0.164741759,0.401338965
Iceland,ISL,2016,1.248311267,3.263982707
Iceland,ISL,2017,1.948416036,6.789085132
Ireland,IRL,2001,0,0
Ireland,IRL,2002,0,0
Ireland,IRL,2003,0,0
Ireland,IRL,2004,0,0
Ireland,IRL,2005,0,0
Ireland,IRL,2006,0,0
Ireland,IRL,2007,0,0
Ireland,IRL,2008,0,0
Ireland,IRL,2009,0.003656575,0
Ireland,IRL,2010,0.019534616,0
Ireland,IRL,2011,0.051693525,0
Ireland,IRL,2012,0.172331379,0
Ireland,IRL,2013,0.063280061,0
Ireland,IRL,2014,0.236010896,0.030151172
Ireland,IRL,2015,0.372964104,0.077634159
Ireland,IRL,2016,0.267562181,0.204766975
Ireland,IRL,2017,0.473778421,0.235365807
Ireland,IRL,2018,0.98236836,0.540979819
Ireland,IRL,2019,2.941905275,1.099689831
Italy,ITA,2001,0.006011486,0
Italy,ITA,2002,0.00539,0
Italy,ITA,2003,0.006016813,0
Italy,ITA,2004,0.001833976,0
Italy,ITA,2005,0.023270601,0
Italy,ITA,2006,0.001104437,0
Italy,ITA,2007,0.000835664,0
Italy,ITA,2008,0.003541332,0
Italy,ITA,2009,0.002032257,0
Italy,ITA,2010,0.005286229,0
Italy,ITA,2011,0.016685885,0
Italy,ITA,2012,0.04304914,0
Italy,ITA,2013,0.088986364,0
Italy,ITA,2014,0.090229337,0.0197673
Italy,ITA,2015,0.092257214,0.05645308
Italy,ITA,2016,0.074450433,0.074341984
Italy,ITA,2017,0.099212623,0.143936722
Italy,ITA,2018,0.260342755,0.241664858
Italy,ITA,2019,0.555101099,0.337239119
Luxembourg,LUX,2001,0,0
Luxembourg,LUX,2002,0,0
Luxembourg,LUX,2003,0,0
Luxembourg,LUX,2004,0,0
Luxembourg,LUX,2005,0,0
Luxembourg,LUX,2006,0,0
Luxembourg,LUX,2007,0,0
Luxembourg,LUX,2008,0.001909891,0
Luxembourg,LUX,2009,0,0
Luxembourg,LUX,2010,0.00201102,0
Luxembourg,LUX,2011,0.062147912,0
Luxembourg,LUX,2012,0.196436367,0
Luxembourg,LUX,2013,0.403225806,0
Luxembourg,LUX,2014,0.729018135,0.120498865
Luxembourg,LUX,2015,0.157080455,0.243151938
Luxembourg,LUX,2016,0.286782303,0.397539606
Luxembourg,LUX,2017,0.731406916,1.280909522
Luxembourg,LUX,2018,0.813681911,1.21675582
Luxembourg,LUX,2019,1.78213169,1.590543496
Netherlands,NLD,2001,0.002451637,0
Netherlands,NLD,2002,0.002741384,0
Netherlands,NLD,2003,0,0
Netherlands,NLD,2004,0,0
Netherlands,NLD,2005,0.000430409,0
Netherlands,NLD,2006,0.000207133,0
Netherlands,NLD,2007,0.000397367,0
Netherlands,NLD,2008,0,0
Netherlands,NLD,2009,0.005721478,0
Netherlands,NLD,2010,0.025049322,0
Netherlands,NLD,2011,0.157758214,0
Netherlands,NLD,2012,0.761927883,0
Netherlands,NLD,2013,5.426785988,0
Netherlands,NLD,2014,0.871542837,3.057104106
Netherlands,NLD,2015,0.780745732,8.914692697
Netherlands,NLD,2016,0.982848884,4.925162075
Netherlands,NLD,2017,1.803308098,0.391326708
Netherlands,NLD,2018,5.375735576,0.740874349
Netherlands,NLD,2019,13.91034579,1.191399508
Norway,NOR,2013,5.78750765,0
Norway,NOR,2014,12.56068129,1.154678354
Norway,NOR,2015,17.11396034,5.297178201
Norway,NOR,2016,15.23285899,13.81694696
Norway,NOR,2017,18.93082712,19.69542251
Norway,NOR,2018,31.19393198,17.81061769
Norway,NOR,2019,42.38305942,13.55316758
Portugal,PRT,2001,0.001567306,0
Portugal,PRT,2002,0,0
Portugal,PRT,2003,0.000526893,0
Portugal,PRT,2004,0,0
Portugal,PRT,2005,0,0
Portugal,PRT,2006,0,0
Portugal,PRT,2007,0,0
Portugal,PRT,2008,0,0
Portugal,PRT,2009,0,0
Portugal,PRT,2010,0.008056323,0
Portugal,PRT,2011,0.13356267,0
Portugal,PRT,2012,0.086035946,0
Portugal,PRT,2013,0.198260968,0
Portugal,PRT,2014,0.142831137,0.059512974
Portugal,PRT,2015,0.347333098,0.305877212
Portugal,PRT,2016,0.342931558,0.546954131
Portugal,PRT,2017,0.738382852,1.089564939
Portugal,PRT,2018,1.783845099,1.635373828
Portugal,PRT,2019,3.075527594,2.590717564
Spain,ESP,2001,0,0
Spain,ESP,2002,0.000213434,0
Spain,ESP,2003,0,0
Spain,ESP,2004,0,0
Spain,ESP,2005,0,0
Spain,ESP,2006,0,0
Spain,ESP,2007,0,0
Spain,ESP,2008,0,0
Spain,ESP,2009,0.000104919,0
Spain,ESP,2010,0.0070273,0
Spain,ESP,2011,0.046655067,0
Spain,ESP,2012,0.069183478,0
Spain,ESP,2013,0.116091949,0
Spain,ESP,2014,0.125802635,0.034373582
Spain,ESP,2015,0.12975812,0.084700531
Spain,ESP,2016,0.164515125,0.14733999
Spain,ESP,2017,0.293457691,0.289489858
Spain,ESP,2018,0.452840012,0.40713223
Spain,ESP,2019,0.76327647,0.564498916
Sweden,SWE,2001,0.000811093,0
Sweden,SWE,2002,0.00039279,0
Sweden,SWE,2003,0.000382894,0
Sweden,SWE,2004,0,0
Sweden,SWE,2005,0.000365054,0
Sweden,SWE,2006,0,0
Sweden,SWE,2007,0,0
Sweden,SWE,2008,0,0
Sweden,SWE,2009,0.009894972,0
Sweden,SWE,2010,0.003116419,0
Sweden,SWE,2011,0.060003344,0
Sweden,SWE,2012,0.145768949,0
Sweden,SWE,2013,0.559817772,0
Sweden,SWE,2014,0.458640135,1.0804693
Sweden,SWE,2015,0.863213042,1.649927848
Sweden,SWE,2016,0.776224434,2.804077193
Sweden,SWE,2017,1.115281812,4.168797415
Sweden,SWE,2018,2.006186803,6.112154184
Sweden,SWE,2019,4.38164391,6.949709305
Switzerland,CHE,2013,0.568471591,0
Switzerland,CHE,2014,0.646920091,0.242802062
Switzerland,CHE,2015,1.029768781,0.918575991
Switzerland,CHE,2016,1.044072924,0.899106566
Switzerland,CHE,2017,1.519571005,1.132354252
Switzerland,CHE,2018,1.713839521,1.336100748
Switzerland,CHE,2019,4.175753912,1.330404312
Turkey,TUR,2014,0.008342825,0.003405235
Turkey,TUR,2015,0.016675946,0.014746498
Turkey,TUR,2016,0.003038558,0.021402017
Turkey,TUR,2017,0.010515262,0.011068696
Turkey,TUR,2018,0.031871953,0.013365658
Turkey,TUR,2019,0.05732642,0.066622596
United Kingdom,GBR,2001,0.001179642,0
United Kingdom,GBR,2002,0.001755938,0
United Kingdom,GBR,2003,0.000077557,0
United Kingdom,GBR,2004,0,0
United Kingdom,GBR,2005,0,0
United Kingdom,GBR,2006,0.012711103,0
United Kingdom,GBR,2007,0.016516733,0
United Kingdom,GBR,2008,0.008400376,0
United Kingdom,GBR,2009,0.002765268,0
United Kingdom,GBR,2010,0.008246775,0
United Kingdom,GBR,2011,0.056889047,0
United Kingdom,GBR,2012,0.087451581,0
United Kingdom,GBR,2013,0.158340682,0
United Kingdom,GBR,2014,0.325750524,0.264493112
United Kingdom,GBR,2015,0.381772871,0.698499299
United Kingdom,GBR,2016,0.381612204,1.065587834
United Kingdom,GBR,2017,0.534358386,1.37879893
United Kingdom,GBR,2018,0.631308491,1.707118316
United Kingdom,GBR,2019,1.637719913,1.503933124